Nepali,English
रूप,as
म,I
आफ्नो,his
कि,that
उहाँले,he
थियो,was
कोलागि,for
मा,on
हो,are
सग,with
तिनीहरू,they
हुन,be
मा,at
एक,one
छ,have
यो,this
देखि,from
द्वारा,by
तातो,hot
शब्द,word
तर,but
के,what
केही,some
छ,is
यो,it
तपाईं,you
वा,or
थियो,had
को,the
को,of
गर्न,to
र,and
एक,a
मा,in
हामी,we
गर्नसक्छन्,can
बाहिर,out
अन्य,other
थिए,were
जो,which
के,do
आफ्नो,their
समय,time
यदि,if
हुनेछ,will
कसरी,how
भने,said
एक,an
प्रत्येक,each
भन्नु,tell
गर्छ,does
सेट,set
तीन,three
चाहनुहुन्छ,want
हावा,air
राम्रो,well
पनि,also
खेल,play
साना,small
अन्त,end
डाल,put
घर,home
पढ्न,read
हात,hand
पोर्ट,port
ठूलो,large
हिज्जे,spell
जोड,add
पनि,even
भूमि,land
यहाँ,here
पर्छ,must
ठूलो,big
उच्च,high
यस्तो,such
पछ्याउन,follow
काम,act
किन,why
सोध्न,ask
पुरुष,men
परिवर्तन,change
गए,went
प्रकाश,light
दयालु,kind
बन्द,off
आवश्यक,need
घर,house
प्रयास,try
हामीलाई,us
फेरि,again
पशु,animal
बिन्दु,point
आमा,mother
संसार,world
निकट,near
निर्माण,build
आत्म,self
पृथ्वीमा,earth
पिता,father
कुनैपनि,any
नयाँ,new
काम,work
अंश,part
ले,take
प्राप्त,get
ठाउँ,place
गरे,made
बाँच्न,live
जहाँ,where
पछि,after
फिर्ता,back
साना,little
केवल,only
गोल,round
मानिस,man
वर्ष,year
आयो,came
शो,show
हरेक,every
राम्रो,good
मलाई,me
दिन,give
हाम्रो,our
अन्तर्गत,under
नाम,name
धेरै,very
माध्यम,through
बस,just
फारम,form
सजाय,sentence
ठूलो,great
विचार,think
भन्न,say
मदत,help
कम,low
नयाँ,line
फरक,differ
फलस्वरूप,turn
कारण,cause
धेरै,much
अर्थ,mean
अघि,before
कदम,move
सही,right
केटा,boy
पुराना,old
पनि,too
त्यसै,same
त्यो,she
सबै,all
त्यहाँ,there
जब,when
अप,up
प्रयोग,use
आफ्नो,your
बाटो,way
बारेमा,about
धेरै,many
त्यसपछि,then
तिनीहरूलाई,them
लेख्न,write
हुनेछ,would
जस्तै,like
यति,so
यी,these
उनको,her
लामो,long
बनाउन,make
कुरा,thing
हेर्नुहोस्,see
तिनलाई,him
दुई,two
छ,has
रुप,look
थप,more
दिन,day
सकेजति,could
जाने,go
आउन,come
गरे,did
नम्बर,number
कुनै,no
सबैभन्दा,most
मान्छे,people
मेरो,my
मा,over
थाहा,know
पानी,water
भन्दा,than
कल,call
पहिलो,first
जो,who
तल,down
पक्ष,side
भएको,been
अब,now
फेला,find
टाउको,head
खडा,stand
आफ्नै,own
पृष्ठ,page
चाहिए,should
देश,country
फेला,found
जवाफ,answer
स्कूल,school
बढ्दै,grow
अध्ययन,study
अझैपनि,still
सिक्न,learn
बिरूवा,plant
आवरण,cover
खाना,food
सूर्य,sun
चार,four
बीच,between
राज्य,state
राखन,keep
आँखा,eye
कहिल्यै,never
अन्तिम,last
गरौं,let
लाग्यो,thought
शहर,city
रूख,tree
पार,cross
खेत,farm
कडा,hard
सुरु,start
होस्,might
कथा,story
देख्यो,saw
टाढा,far
समुद्र,sea
नजिक,draw
बायाँ,left
लेट,late
रन,run
केछैन,don’t
जबकि,while
प्रेस,press
नजिक,close
रात,night
वास्तविक,real
जीवन,life
केही,few
उत्तर,north
पुस्तक,book
पूरा,carry
लिनुभयो,took
विज्ञान,science
खान,eat
कोठा,room
मित्र,friend
सुरु,began
विचार,idea
माछा,fish
पहाड,mountain
बन्द,stop
एकपटक,once
आधार,base
सुन्छन्,hear
घोडा,horse
कटौती,cut
निश्चित,sure
घडी,watch
रङ,color
अनुहार,face
काठ,wood
मुख्य,main
खुला,open
जस्तो,seem
सँगै,together
अर्को,next
सेतो,white
छोराछोरीको,children
सुरु,begin
मिल्यो,got
हिंड्न,walk
उदाहरणका,example
कम,ease
कागज,paper
समूह,group
सधैं,always
संगीत,music
ती,those
दुवै,both
मार्क,mark
अक्सर,often
पत्र,letter
सम्म,until
मील,mile
नदी,river
कार,car
खुट्टा,feet
हेरचाह,care
दोस्रो,second
पर्याप्त,enough
सादा,plain
केटी,girl
